dateTime,time_spatial_A,time_spatial_B,Lm_OPQ,MLT_OPQ,lat,lon,alt,Dist_In_Track,Lag_In_Track,Dist_Total,Loss_Cone_Type,flag
2015-03-26 13:20:21.800,2015-03-26 13:20:21.800,2015-03-26 13:20:53.900,10.0181,11.2198,-80.9383,15.8006,695.044,240.467,32.0649,240.511,0,20
2015-03-28 05:24:11.900,2015-03-28 05:24:11.900,2015-03-28 05:24:43.200,7.84857,22.6302,56.8762,-93.1595,669.877,232.032,30.844,232.062,1,4
2015-03-28 06:48:26.700,2015-03-28 06:48:26.700,2015-03-28 06:48:57.500,7.6890100000000015,10.252,70.7176,30.2046,637.238,232.472,30.7496,232.502,0,0
2015-03-28 12:25:39.600,2015-03-28 12:25:39.600,2015-03-28 12:26:09.900,6.37359,22.1154,-51.8962,139.047,707.7710000000002,229.164,30.6317,229.202,1,4
2015-03-29 00:43:47.600,2015-03-29 00:43:47.600,2015-03-29 00:44:17.900,5.43804,8.61087,68.4217,124.181,636.846,229.131,30.3071,229.16,1,16
2015-03-30 01:11:37.400,2015-03-30 01:11:37.400,2015-03-30 01:12:06.900,6.34205,8.633289999999999,70.2243,115.058,640.2719999999998,222.798,29.4829,222.824,1,16
2015-03-30 11:42:27.800,2015-03-30 11:42:27.800,2015-03-30 11:42:56.600,5.56122,22.25,-51.8826,149.834,704.819,217.972,29.1236,218.004,1,20
2015-03-30 11:42:28.200,2015-03-30 11:42:28.200,2015-03-30 11:42:57.300,5.59751,22.2499,-51.9062,149.821,704.817,217.972,29.1235,218.004,1,20
2015-04-03 19:29:01.800,2015-04-03 19:29:01.800,2015-04-03 19:29:27.900,7.30317,0.6735770000000001,69.5542,65.1713,677.4580000000002,196.896,26.194000000000006,196.916,1,0
2015-04-04 05:05:51.600,2015-04-04 05:05:51.600,2015-04-04 05:06:17.300,7.04408,9.82638,70.3931,56.2227,651.27,195.367,25.8938,195.383,1,0
2015-04-04 06:56:44.800,2015-04-04 06:56:44.800,2015-04-04 06:57:10.700,7.60716,22.2753,59.2077,-115.138,683.826,194.251,25.8716,194.271,1,0
2015-04-04 13:12:08.100,2015-04-04 13:12:08.100,2015-04-04 13:12:33.700,7.23119,9.75203,60.644,-56.7193,643.039,193.563,25.6303,193.579,0,0
2015-04-04 14:49:31.900,2015-04-04 14:49:31.900,2015-04-04 14:49:57.800,7.92888,9.16251,59.1513,-80.218,641.9019999999998,193.288,25.5905,193.304,0,0
2015-04-04 16:39:47.200,2015-04-04 16:39:47.200,2015-04-04 16:40:12.600,9.43648,23.948,72.432,111.614,677.55,192.45,25.6016,192.468,0,0
2015-04-04 17:26:18.900,2015-04-04 17:26:18.900,2015-04-04 17:26:44.600,6.97507,13.2735,-80.2985,-51.7864,672.5269999999998,191.231,25.4186,191.254,0,0
2015-04-04 18:55:59.500,2015-04-04 18:55:59.500,2015-04-04 18:56:25.100,6.13741,19.8429,-64.77,34.4733,690.828,190.689,25.4194,190.715,0,0
2015-04-04 19:05:19.400,2015-04-04 19:05:19.400,2015-04-04 19:05:44.900,6.00092,13.4725,-77.2705,-92.8769,668.709,190.93400000000003,25.3663,190.957,0,0
2015-04-07 03:12:07.800,2015-04-07 03:12:07.800,2015-04-07 03:12:31.200,7.035660000000001,9.26161,70.9623,83.8399,658.556,179.347,23.7951,179.361,1,0
2015-04-07 04:49:39.500,2015-04-07 04:49:39.500,2015-04-07 04:50:03.100,6.78625,9.77158,70.0005,60.7557,657.834,178.99900000000005,23.7467,179.013,1,0
2015-04-07 06:27:38.300,2015-04-07 06:27:38.300,2015-04-07 06:28:02.000,7.46917,10.1939,70.5489,35.5354,658.4760000000001,178.582,23.6934,178.595,1,0
2015-04-07 06:27:42.600,2015-04-07 06:27:42.600,2015-04-07 06:28:06.300,7.6073,10.193,70.7884,35.1885,658.687,178.578,23.6936,178.592,0,0
2015-04-07 06:40:11.800,2015-04-07 06:40:11.800,2015-04-07 06:40:35.400,11.6676,22.3453,60.9234,-110.027,688.69,177.959,23.7174,177.976,-1,0
2015-04-07 07:16:42.500,2015-04-07 07:16:42.500,2015-04-07 07:17:06.000,10.0665,22.3744,-69.9039,-155.884,682.398,176.981,23.5613,177.00099999999995,-1,0
2015-04-07 08:16:50.400,2015-04-07 08:16:50.400,2015-04-07 08:17:14.000,12.5728,22.0519,65.0006,-131.329,687.1310000000002,177.644,23.6677,177.66,-1,0
2015-04-07 09:53:32.300,2015-04-07 09:53:32.300,2015-04-07 09:53:55.900,,22.016,68.8158,-151.838,685.3510000000001,177.33599999999996,23.619,177.352,-1,0
2015-04-07 10:29:17.100,2015-04-07 10:29:17.100,2015-04-07 10:29:40.300,9.97462,22.4345,-59.3749,164.69799999999995,687.0210000000002,176.217,23.4809,176.239,1,4
2015-04-07 13:07:57.400,2015-04-07 13:07:57.400,2015-04-07 13:08:20.900,11.651,22.7307,72.8298,165.26,683.377,176.765,23.5346,176.78,-1,0
2015-04-07 14:45:48.000,2015-04-07 14:45:48.000,2015-04-07 14:46:11.500,9.858,23.2814,72.7405,140.639,683.564,176.423,23.4898,176.438,0,0
2015-04-07 18:01:45.700,2015-04-07 18:01:45.700,2015-04-07 18:02:09.100,8.97711,0.406612,71.6645,89.8771,684.4680000000002,175.675,23.3937,175.69,1,0
2015-04-08 18:18:18.700,2015-04-08 18:18:18.700,2015-04-08 18:18:41.300,8.393469999999999,7.65923,66.2308,-137.376,657.812,170.634,22.6389,170.646,1,0
2015-04-08 19:56:25.800,2015-04-08 19:56:25.800,2015-04-08 19:56:48.800,6.55204,7.6955399999999985,67.2683,-162.88299999999995,659.0210000000002,170.31599999999997,22.6,170.328,1,0
2015-04-08 19:56:58.900,2015-04-08 19:56:58.900,2015-04-08 19:57:22.400,7.52959,7.4581,69.1506,-165.046,660.804,170.292,22.6018,170.304,1,0
2015-04-08 19:57:08.300,2015-04-08 19:57:08.300,2015-04-08 19:57:30.600,7.855169999999998,7.38094,69.6801,-165.727,661.32,170.285,22.6023,170.297,1,0
2015-04-09 04:06:50.400,2015-04-09 04:06:50.400,2015-04-09 04:07:12.600,7.679019999999999,9.51883,71.7715,68.9324,664.16,168.43900000000005,22.3654,168.451,1,16
2015-04-09 04:06:57.500,2015-04-09 04:06:57.500,2015-04-09 04:07:20.100,7.92335,9.50503,72.1604,68.2806,664.541,168.433,22.3658,168.445,1,16
2015-04-09 05:43:36.400,2015-04-09 05:43:36.400,2015-04-09 05:43:58.100,6.06107,10.042,68.2523,49.3038,660.916,168.123,22.3147,168.136,1,16
2015-04-09 05:43:39.900,2015-04-09 05:43:39.900,2015-04-09 05:44:02.200,6.14179,10.0403,68.4511,49.0749,661.085,168.12099999999995,22.3149,168.13299999999995,1,16
2015-04-09 05:44:23.700,2015-04-09 05:44:23.700,2015-04-09 05:44:45.600,7.477819999999999,10.0122,70.9109,45.825,663.561,168.08700000000005,22.3169,168.09900000000005,1,16
